soe,date,total_arrivals,total_male_arrivals,total_female_arrivals,percent_male_arrivals,percent_female_arrivals
Johor,2020,3391945,1992547,1399398,58.74349377716914,41.25650622283085
Johor,2021,8627,6452,2175,74.78845485104904,25.21154514895097
Johor,2022,9374160,5367706,4006454,57.260661221912144,42.73933877808785
Johor,2023,17211075,9538441,7672634,55.42036740877604,44.57963259122397
Kedah,2020,289242,173493,115749,59.98195282842741,40.01804717157259
Kedah,2021,215047,214467,580,99.73029151766823,0.2697084823317693
Kedah,2022,537127,347638,189489,64.72175109424772,35.27824890575227
Kedah,2023,1067038,592088,474950,55.48893291522889,44.51106708477111
Kelantan,2020,100375,53826,46549,53.62490660024907,46.37509339975093
Kelantan,2021,27,11,16,40.74074074074074,59.25925925925925
Kelantan,2022,186149,94465,91684,50.74698225614964,49.25301774385036
Kelantan,2023,547203,288620,258583,52.74459387101314,47.25540612898686
Melaka,2020,10303,4826,5477,46.840726002135305,53.159273997864695
Melaka,2021,7,4,3,57.14285714285714,42.857142857142854
Melaka,2022,49385,21975,27410,44.497316999088795,55.50268300091121
Melaka,2023,56977,25712,31265,45.12698106253401,54.873018937466
Negeri Sembilan,2020,8352,5476,2876,65.56513409961686,34.434865900383144
Negeri Sembilan,2021,0,0,0,,
Negeri Sembilan,2022,50226,34015,16211,67.72388802612193,32.276111973878066
Negeri Sembilan,2023,85615,55502,30113,64.82742510074169,35.17257489925831
Pahang,2020,1792,980,812,54.6875,45.3125
Pahang,2021,7,7,0,100.0,0.0
Pahang,2022,1603,1001,602,62.44541484716157,37.55458515283843
Pahang,2023,9211,5033,4178,54.64118988166323,45.35881011833677
Perak,2020,46530,22041,24489,47.36943907156673,52.63056092843327
Perak,2021,69,26,43,37.68115942028986,62.31884057971014
Perak,2022,92868,44469,48399,47.884093552138516,52.115906447861484
Perak,2023,229234,107022,122212,46.686791662667844,53.31320833733216
Perlis,2020,161218,106276,54942,65.92067883238845,34.07932116761156
Perlis,2021,100921,98534,2387,97.63478364265119,2.3652163573488174
Perlis,2022,437251,283481,153770,64.83255612908833,35.167443870911676
Perlis,2023,686268,402739,283529,58.68538238705578,41.31461761294422
Pulau Pinang,2020,135829,63411,72418,46.684434104646286,53.315565895353714
Pulau Pinang,2021,2639,1817,822,68.85183781735506,31.14816218264494
Pulau Pinang,2022,390584,182975,207609,46.846517010425416,53.153482989574584
Pulau Pinang,2023,1033007,483703,549304,46.82475530175497,53.17524469824503
Sabah,2020,102507,47528,54979,46.36561405562547,53.63438594437453
Sabah,2021,156,95,61,60.89743589743589,39.1025641025641
Sabah,2022,142154,67847,74307,47.7278163118871,52.2721836881129
Sabah,2023,354341,165025,189316,46.57236955362208,53.427630446377925
Sarawak,2020,297383,177389,119994,59.650013618801346,40.349986381198654
Sarawak,2021,9907,9556,351,96.45705057030382,3.5429494296961748
Sarawak,2022,628152,345197,282955,54.95437410053617,45.04562589946383
Sarawak,2023,1659515,899603,759912,54.20878991753615,45.79121008246385
Selangor,2020,1619117,938551,680566,57.96684242089979,42.03315757910021
Selangor,2021,133015,93610,39405,70.37552155771905,29.624478442280942
Selangor,2022,3252445,2006270,1246175,61.684978531535506,38.315021468464494
Selangor,2023,7553241,4396425,3156816,58.20580860586866,41.79419139413134
Terengganu,2020,49,48,1,97.95918367346938,2.0408163265306123
Terengganu,2021,47,47,0,100.0,0.0
Terengganu,2022,33,28,5,84.84848484848484,15.151515151515152
Terengganu,2023,52,48,4,92.3076923076923,7.6923076923076925
W.P. Labuan,2020,7366,4840,2526,65.70730382840077,34.29269617159924
W.P. Labuan,2021,90,86,4,95.55555555555556,4.444444444444445
W.P. Labuan,2022,6375,4151,2224,65.11372549019609,34.88627450980392
W.P. Labuan,2023,22527,14611,7916,64.85994584276645,35.14005415723354
